date,vix_close,tnx_close,irx_close,term_spread_10y_3m,hyg_lqd_ratio,qqq_momentum_12_1,qqq_drawdown_252,qqq_vol_ratio_20_60,risk_on_prob,neutral_prob,risk_off_prob,forecast_confidence,market_regime
2026-04-27,18.02000046,4.33599997,3.59000015,0.74599981,0.73666394,0.22009345,0.00000000,0.89733491,0.99999724,0.00000000,0.00000276,0.99999724,risk_on
2026-04-28,17.82999992,4.35400009,3.59000015,0.76399994,0.73532106,0.19663665,-0.01005675,0.91472162,0.99999392,0.00000001,0.00000606,0.99999392,risk_on
2026-04-29,18.80999947,4.41800022,3.59000015,0.82800007,0.73696307,0.17969909,-0.00400460,0.78074077,0.99999817,0.00000000,0.00000182,0.99999817,risk_on
2026-04-30,16.88999939,4.39000034,3.58499980,0.80500054,0.73844739,0.21979054,0.00000000,0.78436875,0.99999949,0.00000000,0.00000051,0.99999949,risk_on
2026-05-01,16.98999977,4.37799978,3.57500005,0.80299973,0.73720072,0.21893856,0.00000000,0.79176187,0.99999955,0.00000000,0.00000045,0.99999955,risk_on
2026-05-04,18.29000092,4.44600010,3.59000015,0.85599995,0.73718248,0.20248670,-0.00188388,0.82052723,0.99999742,0.00000000,0.00000258,0.99999742,risk_on
2026-05-05,18.29000092,4.41599989,3.59999990,0.81599998,0.73557291,0.21694190,0.00000000,0.82947591,0.99999480,0.00000001,0.00000519,0.99999480,risk_on
2026-05-06,17.38999939,4.35599995,3.59999990,0.75600004,0.73413318,0.22855579,0.00000000,0.73957373,0.99999721,0.00000000,0.00000278,0.99999721,risk_on
2026-05-07,17.07999992,4.39199972,3.59800005,0.79399967,0.73441238,0.26013614,-0.00119295,0.75626160,0.99999794,0.00000000,0.00000205,0.99999794,risk_on
2026-05-08,17.19000053,4.36399984,3.59500003,0.76899981,0.73388280,0.25569544,0.00000000,0.79004738,0.99999840,0.00000000,0.00000160,0.99999840,risk_on
2026-05-11,18.37999916,4.40999985,3.59999990,0.80999994,0.73423302,0.25833117,0.00000000,0.81717094,0.99999630,0.00000001,0.00000369,0.99999630,risk_on
2026-05-12,17.98999977,4.46300030,3.60299993,0.86000037,0.73572222,0.22157805,-0.00848181,0.83183903,0.99999615,0.00000001,0.00000385,0.99999615,risk_on
2026-05-13,17.87000084,4.48099995,3.59999990,0.88100004,0.73568405,0.22508703,0.00000000,0.82025341,0.99999608,0.00000001,0.00000391,0.99999608,risk_on
2026-05-14,17.26000023,4.46099997,3.58800006,0.87299991,0.73560568,0.23483697,0.00000000,0.82051592,0.99999107,0.00000003,0.00000891,0.99999107,risk_on
2026-05-15,18.43000031,4.59500027,3.58800006,1.00700021,0.73669570,0.23942261,-0.01508771,0.87918989,0.99996756,0.00000018,0.00003226,0.99996756,risk_on
2026-05-18,17.81999969,4.62300014,3.56800008,1.05500007,0.73880734,0.25019792,-0.01932504,0.88229503,0.99998806,0.00000004,0.00001190,0.99998806,risk_on
2026-05-19,18.05999947,4.66699982,3.57500005,1.09199977,0.74075800,0.24503484,-0.02536844,0.89793589,0.99997904,0.00000010,0.00002086,0.99997904,risk_on
2026-05-20,17.44000053,4.57200003,3.55699992,1.01500010,0.73978696,0.24444766,-0.00922485,0.89076069,0.99999449,0.00000001,0.00000550,0.99999449,risk_on
2026-05-21,16.76000023,4.58599997,3.58200002,1.00399995,0.73865215,0.28309877,-0.00733543,0.87881974,0.99999451,0.00000001,0.00000548,0.99999451,risk_on
2026-05-22,16.70000076,4.55800009,3.58499980,0.97300029,0.73738121,0.27348856,-0.00312591,0.84423527,0.99999598,0.00000001,0.00000401,0.99999598,risk_on
2026-05-26,17.01000023,4.49300003,3.58200002,0.91100001,0.73708403,0.30997855,0.00000000,0.86951662,0.99998833,0.00000004,0.00001163,0.99998833,risk_on
2026-05-27,16.29000092,4.48099995,3.58499980,0.89600015,0.73561000,0.28054398,-0.00113657,0.82956190,0.99999385,0.00000002,0.00000613,0.99999385,risk_on
2026-05-28,15.73999977,4.45499992,3.59000015,0.86499977,0.73430351,0.27330911,0.00000000,0.83957743,0.99997448,0.00000013,0.00002539,0.99997448,risk_on
2026-05-29,15.31999969,4.45300007,3.58800006,0.86500001,0.73436354,0.27858027,0.00000000,0.84339013,0.99997229,0.00000014,0.00002756,0.99997229,risk_on
2026-06-01,16.04999924,4.47499990,3.62000012,0.85499978,0.73294773,0.29254346,0.00000000,0.84065473,0.99993519,0.00000052,0.00006429,0.99993519,risk_on
2026-06-02,15.77000046,4.45499992,3.61800003,0.83699989,0.73356595,0.29472511,0.00000000,0.84754545,0.99996593,0.00000020,0.00003387,0.99996593,risk_on
