date,QQQ,AAOI,ACHR,ADBE,ALM,AMAT,AMZN,APLD,APP,ASML,ASTS,AVAV,AVGO,BE,CEG,COIN,CRCL,CRDO,CRML,CRWV,CVNA,FIGR,FSLR,FSLY,GEV,GLD,GOOGL,HOOD,IONQ,IREN,JOBY,KTOS,LITE,LLY,LRCX,META,MOD,MP,MRVL,MU,NBIS,NEE,NFLX,NKE,NOK,NVDA,NVT,NXT,OKLO,ORCL,PL,PLTR,QBTS,QCOM,RDW,RKLB,SLV,TSLA,TSM,USAR,USO,VIAV,VRT,VST
2020-01-31,210.89024353,11.30000019,,351.14001465,1.01250005,54.60005951,100.43599701,,,264.62789917,10.00000000,66.61000061,26.15688705,7.88000011,,,,,,,15.85000038,,49.58000183,22.51000023,,149.33000183,70.96371460,,,,,18.34000015,75.76999664,129.28576660,27.72596931,200.15232849,7.03000021,,23.37968063,51.77002716,,56.57579041,34.50899887,86.54447174,3.48529053,5.87729645,22.18866158,,,47.82934189,,,,73.53747559,,,16.81999969,43.37133408,48.06738281,,86.72000122,14.10000038,12.33439922,19.59752083
2020-02-03,214.07662964,11.61999989,,358.00000000,1.01250005,56.22892380,100.20999908,,,271.69946289,10.01000023,68.05999756,26.16288376,8.64000034,,,,,,,17.25000000,,50.24000168,22.43000031,,148.36000061,73.43124390,,,,,18.13999939,77.22000122,130.54493713,28.67710114,202.41250610,7.34999990,,23.54500580,52.44287109,,56.28256989,35.79999924,89.21360016,3.48529053,5.97424459,22.12628174,,,48.41295624,,,,74.54602051,,,16.50000000,52.00000000,48.80703354,,83.91999817,14.40999985,12.31450939,19.64103317
2020-02-04,218.97656250,12.39999962,,366.73999023,1.01250005,59.32659531,102.48349762,,,282.13720703,10.00000000,70.34999847,26.70889282,9.35000038,,,,,,,18.26000023,,52.66999817,22.75000000,,146.42999268,71.58927155,,,,,18.82999992,86.51999664,132.80401611,30.25395584,208.00340271,7.82999992,,24.07990265,54.12010956,,55.80372620,36.90100098,91.10985565,3.55715227,6.14328146,22.47381401,,,49.27926254,,,,76.65792084,,,16.45000076,59.13733292,51.25762558,,83.51999664,14.77999973,12.62286472,19.17981529
2020-02-05,219.69856262,12.13000011,,365.54998779,1.02149999,60.07043076,101.99349976,,,288.82217407,10.00000000,72.16000366,27.20432472,9.43999958,,,,,,,17.95000076,,53.09999847,21.06999969,,146.61000061,71.62096405,,,,,19.07999992,87.15000153,136.42413330,30.27440262,208.28096008,9.10000038,,25.13023949,55.35853958,,56.26145935,36.96699905,90.35494232,3.62003112,6.23351812,23.85503960,,,49.91759491,,,,78.36469269,,,16.45999908,48.97999954,51.61408615,,85.59999847,15.19999981,12.72233772,19.08409119
2020-02-06,221.59500122,11.57999992,,367.45999146,1.02149999,59.49608612,102.51149750,,,291.86770630,10.00000000,69.47000122,27.40232849,9.57999992,,,,,,,18.21199989,,52.65000153,21.70999908,,147.39999390,73.10289001,,,,,19.62999916,88.33999634,136.37776184,30.07915878,209.01451111,8.32999992,,25.04270935,57.22105408,,56.60319519,36.69499969,90.11228943,3.77273703,6.32027435,23.88176727,,,49.89023590,,,,78.10607910,,,16.62999916,49.93066788,51.70320129,,85.91999817,14.81999969,12.79196835,18.90134430
2020-02-07,220.64195251,11.27000046,,366.08999634,1.02149999,58.10259247,103.96399689,,,287.54922485,10.00000000,67.80000305,27.02004623,9.85000038,,,,,,,17.77199936,,52.45999908,21.61000061,,147.78999329,73.25838470,,,,,19.37999916,87.30000305,135.55381775,29.32420731,210.48161316,8.06999969,,23.36022377,55.46580124,,56.85845184,36.67699814,89.36639404,3.92544222,6.25415325,23.76592064,,,49.89935303,,,,75.35630035,,,16.54000092,49.87133408,50.08134460,,84.63999939,14.38000011,12.81186295,19.40607262
2020-02-10,223.30848694,11.30000019,,370.00000000,1.02149999,59.24186707,106.69550323,,,291.99023438,10.01000023,68.19000244,26.93174744,10.01000023,,,,,,,17.88800049,,52.75000000,21.81999969,,148.16999817,74.72197723,,,,,19.71999931,88.98000336,134.72052002,29.73608208,211.20529175,8.01000023,,23.48665428,55.90460968,,57.32252502,37.10699844,89.88763428,3.82663393,6.53704023,23.75701141,,,50.14556122,,,,76.37345123,,,16.61000061,51.41866684,50.81206894,,83.36000061,14.43000031,12.93122673,19.37996674
2020-02-11,223.34704590,11.51000023,,369.27999878,1.01699996,60.68242264,107.54000092,,,297.95861816,10.00000000,69.30999756,27.44261360,10.09000015,,,,,,,17.15999985,,53.52999878,21.87000084,,147.66000366,74.79130554,,,,,20.03000069,91.11000061,133.55390930,30.27905273,205.38638306,8.39999962,,24.79957771,55.82660294,,57.40901947,37.36899948,89.88763428,3.96137309,6.65934467,23.99761581,,,50.29148102,,,,77.58026123,,,16.47999954,51.62533188,52.27350998,,84.00000000,14.71000004,12.68255043,19.99782753
2020-02-12,225.52265930,12.46000004,,374.29000854,1.00574994,61.54864502,108.00000000,,,299.30697632,10.00000000,69.45999908,27.83175850,10.46000004,,,,,,,17.32999992,,56.11999893,22.29999924,,147.53999329,75.21577454,,,,,20.36000061,92.84999847,132.86878967,31.11118126,208.92527771,8.63000011,,24.78012085,57.79638290,,57.01033401,38.00099945,92.56572723,3.96137309,6.77493572,24.47881699,,,50.82037735,,,,79.06289673,,,16.32999992,51.15266800,53.13792038,,86.48000336,14.77999973,12.43387127,19.95431519
2020-02-13,225.23388672,12.75000000,,374.83999634,1.01250005,63.43173218,107.49349976,,,299.12783813,10.01000023,69.97000122,27.76919174,9.64999962,,,,,,,17.47999954,,54.61000061,22.45999908,,148.38000488,74.95623779,,,,,20.70999908,90.44000244,131.96607971,31.75828171,211.28460693,8.69999981,,24.52726746,57.85488892,,58.10936737,38.13999939,92.89828491,3.89849567,6.73118496,24.40752983,,,50.43738556,,,,77.60610962,,,16.45999908,53.59999847,52.87056732,,86.72000122,14.65999985,12.60297298,20.07614899
