date,ticker,forward_pe,price_target_gap,beta_252,momentum_12_1,drawdown_252,vol_20,vol_60,vol_ratio_20_60
2026-04-13,MU,4.34543230,0.25123078,2.10195983,4.79799661,-0.07578201,0.76530120,0.71398787,1.07186863
2026-04-13,NBIS,-224.36417000,0.04813665,2.62014077,4.13498081,0.00000000,1.09095938,1.08325464,1.00711258
2026-04-13,NEE,21.10124400,0.03095634,0.16121213,0.41573826,-0.02874831,0.18424889,0.19713804,0.93461862
2026-04-13,NFLX,26.67915200,0.10538319,0.48423886,0.02380669,-0.22964904,0.26288916,0.41046196,0.64047143
2026-04-13,NKE,22.44141200,0.48308996,0.67649252,0.02000862,-0.44855505,0.60607021,0.42409850,1.42907887
2026-04-13,NOK,22.69941300,-0.16104147,0.72112679,0.72330325,0.00000000,0.55987162,0.47920767,1.16832774
2026-04-13,NVDA,17.02987000,0.41683984,1.52096192,0.70292052,-0.08553526,0.34689092,0.37615861,0.92219323
2026-04-13,NVT,27.15240300,0.00344285,1.32122881,1.21166595,0.00000000,0.55880020,0.45276897,1.23418395
2026-04-13,NXT,23.24404000,0.11858162,1.40475018,2.07019872,-0.14468636,0.76336666,0.67911725,1.12405724
2026-04-13,OKLO,-63.91828000,0.67605209,2.47057549,1.62279938,-0.69024923,0.80768139,0.87986920,0.91795621
2026-04-13,ORCL,19.51862000,0.58372137,1.32342798,0.20132973,-0.52228539,0.60679501,0.58397234,1.03908176
2026-04-13,PL,-1716.00000000,0.01981352,1.44022383,6.43154765,-0.06101230,1.45898592,1.06682084,1.36760164
2026-04-13,PLTR,71.11275500,0.39946665,1.64886793,0.73270128,-0.36108698,0.59897102,0.57457789,1.04245400
2026-04-13,QBTS,-39.67716600,1.50892218,2.40069085,1.47638894,-0.67284502,0.78780918,0.86622378,0.90947535
2026-04-13,QCOM,11.84111100,0.18049810,1.03882689,-0.00131739,-0.29263897,0.21535086,0.28613888,0.75260956
2026-04-13,QQQ,,,1.00000000,0.34339331,-0.02643265,0.23635131,0.19523564,1.21059511
2026-04-13,RDW,-21.71739000,0.35135135,2.25686594,0.01173956,-0.51434128,0.81359373,1.21321320,0.67061068
2026-04-13,RKLB,1377.95130000,0.22744463,2.18778654,2.48293457,-0.26666666,1.03999373,0.89358171,1.16384849
2026-04-13,SLV,,,0.64354651,1.70438478,-0.35340909,0.56005751,0.95158327,0.58855333
2026-04-13,TSLA,128.96214000,0.17841382,1.66035781,0.56501592,-0.28059931,0.40886204,0.36739361,1.11287194
2026-04-13,TSM,20.04851000,0.18932965,1.50980616,1.24920586,-0.04415090,0.45735158,0.41724851,1.09611315
2026-04-13,USAR,-11.42176900,0.89398451,1.17864805,1.32626626,-0.56592552,0.93592582,1.12994454,0.82829359
2026-04-13,USO,,,-0.40726171,0.81246173,-0.07535628,0.78159626,0.62032454,1.25997958
2026-04-13,VIAV,41.17530000,-0.25437392,1.06087244,2.02439022,-0.02948063,0.84987182,0.84022969,1.01147559
2026-04-13,VRT,37.19811000,-0.08334998,2.11586575,2.92211444,0.00000000,0.64147858,0.73907715,0.86794535
2026-04-13,VST,14.08147200,0.48080373,1.38997845,0.46601958,-0.27204168,0.57944848,0.52761909,1.09823258
2026-04-14,AAOI,45.78264200,-0.38315459,3.31231704,7.58244680,-0.04438934,1.62496411,1.83745625,0.88435526
2026-04-14,ACHR,-5.43822340,0.94983422,2.17043906,-0.14224751,-0.58431086,0.58235713,0.63505552,0.91701767
2026-04-14,ADBE,8.93855700,0.40688728,0.48321027,-0.29264900,-0.43966909,0.38129615,0.39094410,0.97532142
2026-04-14,ALM,28.03098300,-0.00076349,1.29300037,4.90840831,-0.02154405,1.17744683,1.03727414,1.13513562
2026-04-14,AMAT,28.24632300,0.06631028,1.73728105,1.37743382,-0.00963723,0.56313266,0.54426459,1.03466709
2026-04-14,AMZN,26.53513300,0.12914505,1.23869932,0.12332993,-0.01960628,0.38059945,0.34129102,1.11517570
2026-04-14,APLD,-58.27777500,0.59170353,2.49802031,4.11342144,-0.23893590,1.18272221,1.17738672,1.00453164
2026-04-14,APP,21.39881300,0.49625476,2.11962753,0.83504709,-0.40906485,0.70790394,0.97618874,0.72517118
2026-04-14,ASML,33.68289000,-0.00488737,1.54072805,1.02968031,-0.00537826,0.52919768,0.44578328,1.18711872
2026-04-14,ASTS,-586.24570000,0.00654849,2.17999039,2.70876262,-0.27455154,1.09391302,1.12240126,0.97461849
2026-04-14,AVAV,48.00663400,0.60119936,1.17559413,0.41508921,-0.52536415,0.61862798,0.83376837,0.74196624
2026-04-14,AVGO,21.24272000,0.24198737,1.66471906,0.78130411,-0.07424541,0.46698485,0.42566136,1.09708067
2026-04-14,BE,71.97050500,-0.34346893,2.87442273,7.75907029,0.00000000,1.32393742,1.14366588,1.15762606
2026-04-14,CEG,21.59030500,0.25854263,1.26669472,0.45642071,-0.26389836,0.56543926,0.53089023,1.06507754
2026-04-14,COIN,34.73201800,0.29009191,2.41992080,0.11413105,-0.56069845,0.66688024,0.86350564,0.77229402
2026-04-14,CRCL,46.36596700,0.21416722,2.28715110,,-0.59958249,1.08409243,1.18769237,0.91277207
2026-04-14,CRDO,33.62804400,0.24085494,2.73460143,2.03951443,-0.15682646,1.14549158,1.02613091,1.11632110
2026-04-14,CRML,-28.35483700,0.70648464,1.85943333,3.18981474,-0.70670670,1.02934560,1.29334354,0.79587949
2026-04-14,CRWV,-258.59976000,0.05375427,2.62684315,0.85394287,-0.36158625,0.91227630,1.02877940,0.88675600
2026-04-14,CVNA,35.44598400,0.13171748,1.77831064,0.45562560,-0.21787024,0.64728341,0.68168716,0.94953147
2026-04-14,FIGR,27.05384600,0.51762866,2.42274798,,-0.52415104,0.81079229,1.23340509,0.65736091
2026-04-14,FSLR,8.24071200,0.24270316,1.22433945,0.55697615,-0.29509117,0.42871021,0.53499178,0.80133981
2026-04-14,FSLY,56.74585000,-0.23627685,0.79739973,3.48540143,-0.37462684,1.49415525,1.80964112,0.82566385
2026-04-14,GEV,43.13472000,-0.06468132,1.36917253,1.51038838,-0.00385346,0.46375914,0.44396387,1.04458757
2026-04-14,GLD,,,0.05011390,0.54680632,-0.10246017,0.37320724,0.42300755,0.88227089
2026-04-14,GOOGL,24.76371400,0.12923162,0.98165137,0.93030517,-0.03068363,0.38227743,0.28924423,1.32164236
2026-04-14,HOOD,29.36971500,0.31206537,2.45430829,0.68017397,-0.48124103,0.65181141,0.73335174,0.88881143
2026-04-14,IONQ,-39.21009400,0.82580453,2.21901674,0.26408583,-0.56438056,0.98180370,0.98796038,0.99376829
2026-04-14,IREN,37.44664000,0.52135677,2.35313880,6.38543534,-0.38005501,0.87642643,1.08103748,0.81072715
2026-04-14,JOBY,-18.92473200,0.35202045,1.90144437,0.63575044,-0.56841587,0.49566681,0.63094267,0.78559722
2026-04-14,KTOS,68.51201000,0.59313060,1.30926011,1.63327300,-0.43650549,0.90409741,0.85072772,1.06273416
2026-04-14,LITE,53.84451700,-0.09315560,2.10012530,11.14160317,-0.04960438,1.07609071,1.01475639,1.06044241
2026-04-14,LLY,21.95555500,0.31131675,0.30618606,0.35494275,-0.16748674,0.35010554,0.41067870,0.85250476
2026-04-14,LRCX,39.38803500,0.02466514,2.01174725,2.16767634,0.00000000,0.67036761,0.61778107,1.08512163
2026-04-14,META,18.53501000,0.29161089,1.28468010,0.13158931,-0.15943559,0.53061118,0.44899254,1.18178172
2026-04-14,MOD,34.38730200,0.02949953,1.75613155,1.45975198,-0.01295765,0.72710610,0.74775617,0.97238395
2026-04-14,MP,45.77886200,0.35446844,1.06722368,1.52248670,-0.41855043,0.77644940,0.73076120,1.06252138
2026-04-14,MRVL,24.71144100,-0.07792251,1.83817425,0.64924991,0.00000000,0.72258685,0.66158864,1.09219959
2026-04-14,MU,4.74375000,0.14616888,2.10571014,5.13904616,0.00000000,0.82187194,0.73566040,1.11718932
2026-04-14,NBIS,-235.07722000,0.00037051,2.61966014,4.25104583,0.00000000,0.98250573,1.08597410,0.90472299
2026-04-14,NEE,20.87491400,0.04213416,0.14182652,0.45174406,-0.03916591,0.18796506,0.19889754,0.94503463
2026-04-14,NFLX,27.42900700,0.07293310,0.48890764,0.03790736,-0.20635037,0.27777778,0.41385967,0.67118832
2026-04-14,NKE,23.51889400,0.43980520,0.60830944,0.01736903,-0.43197700,0.61678768,0.43028350,1.43344488
2026-04-14,NOK,22.65563400,-0.15942029,0.71984219,0.69523481,-0.00192859,0.54363290,0.47536684,1.14360711
2026-04-14,NVDA,17.62585800,0.36492774,1.53446825,0.62528154,-0.05075556,0.36616448,0.38156100,0.95964862
2026-04-14,NVT,27.19696000,-0.00640653,1.31706656,1.22723140,0.00000000,0.54781630,0.44903886,1.21997526
2026-04-14,NXT,23.94625700,0.08577950,1.43408922,2.04970688,-0.11884680,0.77078629,0.67679399,1.13887875
2026-04-14,OKLO,-69.41663000,0.54329549,2.56284171,1.59422217,-0.66360399,0.86348508,0.89676596,0.96288789
2026-04-14,ORCL,20.44471500,0.51201669,1.35940852,0.17960641,-0.49963061,0.62876446,0.59192154,1.06224291
2026-04-14,PL,-1696.50000000,0.03153551,1.38736252,6.82018938,-0.07168260,1.45998040,1.06192494,1.37484331
2026-04-14,PLTR,72.90172600,0.36512454,1.69586309,0.70468652,-0.34501399,0.60605886,0.57769384,1.04910045
2026-04-14,QBTS,-45.96051000,1.16592280,2.61604898,1.42068955,-0.62103618,0.98444536,0.92914888,1.05951305
2026-04-14,QCOM,11.98547000,0.16627951,1.00771664,-0.04587596,-0.28401529,0.21859268,0.28602408,0.76424572
2026-04-14,QQQ,,,1.00000000,0.31127313,-0.00875557,0.24112769,0.19862033,1.21401318
2026-04-14,RDW,-21.32608800,0.37614679,2.27791145,0.03787883,-0.52309185,0.81662999,1.21342693,0.67299478
2026-04-14,RKLB,1409.17080000,0.20025118,2.24056970,2.48497232,-0.25005193,1.03257151,0.89490932,1.15382809
2026-04-14,SLV,,,0.71456156,1.49023642,-0.31780301,0.59571073,0.95820349,0.62169543
2026-04-14,TSLA,131.39714000,0.14029819,1.66004669,0.55047369,-0.25655261,0.42766861,0.37505590,1.14027965
2026-04-14,TSM,20.60835000,0.15702061,1.53076742,1.17429159,-0.01745942,0.46457342,0.41148682,1.12901167
2026-04-14,USAR,-11.55782300,0.87168923,1.46785455,1.34175669,-0.56075492,0.93771857,1.11694081,0.83954186
2026-04-14,USO,,,-0.50746322,0.80394224,-0.10860806,0.77825169,0.62442350,1.24635234
2026-04-14,VIAV,40.48044200,-0.24157504,1.04758839,2.03647413,-0.04585875,0.84677567,0.83785386,1.01064841
2026-04-14,VRT,38.36284300,-0.11449441,2.13654863,2.72271753,0.00000000,0.64674489,0.74081235,0.87302121
2026-04-14,VST,14.59506400,0.42869519,1.37356356,0.42820627,-0.24549096,0.59001865,0.51484894,1.14600344
2026-04-15,AAOI,44.58170700,-0.36653806,3.33996658,7.36177775,-0.06945623,1.58656270,1.84008371,0.86222311
2026-04-15,ACHR,-5.81228070,0.82434983,2.20935074,-0.15586208,-0.55571849,0.62768213,0.65349801,0.96049586
2026-04-15,ADBE,9.27756300,0.35547891,0.49760267,-0.28226611,-0.41841778,0.40630171,0.39737829,1.02245574
2026-04-15,ALM,26.83330700,0.03952319,1.28154812,3.87121231,-0.05745066,1.16333155,1.03728089,1.12152028
2026-04-15,AMAT,28.14779900,0.07004261,1.71585069,1.41663923,-0.01309164,0.56284224,0.54276629,1.03698820
2026-04-15,AMZN,26.44283900,0.13150785,1.23177964,0.16264008,-0.02165354,0.38112946,0.34129027,1.11673110
2026-04-15,APLD,-57.05555300,0.62580039,2.48343733,4.16014892,-0.25489720,1.18622539,1.17123895,1.01279538
